gender_core,age_core,understand_contract,understand_contract,total_tenure_months,workplace_satis_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
1,56,1,0,120,4,0,2,4,1,4,1,3,2
0,32,1,0,72,4,1,2,4,0,4,1,0,1
1,43,1,0,30,4,1,2,4,1,2,1,1,2
1,45,1,0,12,3,0,2,2,0,3,1,2,1
1,57,1,0,25,3,0,2,4,0,2,1,2,1
1,41,1,0,32,4,0,4,4,0,0,1,0,2
1,40,1,0,15,3,0,3,3,1,1,1,2,0
1,24,1,0,48,4,1,3,4,0,3,1,2,1
1,28,1,0,14,4,0,3,4,0,4,1,2,1
1,29,1,0,12,3,0,4,4,0,1,1,0,1
1,57,1,0,120,4,0,4,4,0,1,1,2,2
0,23,1,0,42,4,0,2,4,0,2,1,0,0
0,30,1,0,120,3,1,3,4,0,4,1,0,2
0,43,1,0,6,4,0,2,4,0,2,1,0,1
0,38,1,0,60,0,0,1,4,0,4,1,3,0
0,20,1,0,24,2,1,2,4,1,2,1,0,1
0,21,1,0,3,4,1,3,4,0,4,1,0,1
0,45,1,0,18,3,0,3,4,0,4,1,0,1
0,52,1,0,144,4,0,3,4,0,4,1,0,1
0,20,1,0,12,4,0,2,4,0,4,0,2,0
1,22,1,0,8,4,0,4,4,0,2,1,0,1
1,28,1,0,9,3,1,3,2,0,1,1,0,0
1,45,1,0,16,2,0,2,2,0,4,1,0,1
1,49,1,0,120,4,0,4,4,1,3,1,0,2
0,34,1,0,117,4,0,4,4,0,3,1,2,1
1,22,1,0,11,0,0,2,0,0,0,1,4,1
1,36,1,0,12,4,0,2,2,0,4,1,0,1
1,46,1,0,7,2,0,3,4,0,4,1,0,2
1,34,1,0,11,3,0,2,3,0,2,1,3,0
1,44,1,0,96,4,0,3,4,0,4,1,0,1
1,22,1,0,60,4,1,4,4,0,4,1,0,2
1,22,1,0,11,3,0,3,3,0,2,1,3,1
1,38,0,1,19,0,0,3,1,1,1,0,4,0
0,25,1,0,30,2,0,2,4,1,4,0,4,1
0,42,1,0,108,2,0,3,4,0,4,0,0,0
0,62,1,0,26,4,0,4,4,0,3,1,0,2
0,28,1,0,96,4,1,3,4,0,3,1,0,2
0,29,1,0,108,4,1,3,4,0,2,1,0,2
0,25,1,0,24,4,0,3,4,0,4,1,0,1
0,18,1,0,4,4,1,2,4,1,4,1,0,0
0,29,1,0,18,3,1,3,4,0,3,1,0,0
0,24,1,0,17,2,0,2,4,0,4,1,0,1
0,41,1,0,15,4,0,4,4,0,4,1,0,2
0,53,1,0,35,4,0,3,4,0,4,1,0,2
0,41,1,0,108,3,0,3,1,0,4,1,0,2
0,35,1,0,14,3,0,2,4,0,0,1,0,1
0,23,1,0,8,3,0,3,4,0,4,1,0,1
0,34,1,0,72,3,0,3,4,0,0,1,0,1
0,32,1,0,132,4,1,3,3,0,4,1,0,2
0,26,1,0,72,4,1,3,4,0,4,1,0,2
0,23,1,0,3,3,1,3,4,1,4,1,0,2
0,26,1,0,24,4,1,4,4,0,4,1,0,2
0,35,1,0,12,4,1,3,4,0,4,1,0,2
0,33,1,0,60,3,1,3,3,0,4,1,0,2
0,30,1,0,134,4,1,4,4,0,4,1,4,2
0,29,1,0,60,4,1,4,4,0,4,1,0,1
0,49,1,0,12,4,0,3,4,0,4,1,0,2
0,25,1,0,60,4,1,4,4,0,4,1,0,2
1,29,1,0,132,4,0,2,4,0,4,1,3,2
0,36,1,0,156,4,1,4,4,0,4,1,0,2
0,19,1,0,6,3,1,4,4,0,4,1,4,2
0,32,1,0,46,3,1,3,3,0,2,1,1,2
0,45,1,0,168,4,1,4,4,0,4,1,3,2
1,36,1,0,6,4,1,4,4,0,4,1,0,2
1,34,1,0,3,4,1,4,4,0,4,1,0,2
0,28,1,0,92,4,1,3,4,0,4,1,2,2
0,39,1,0,156,3,1,4,0,0,4,1,0,2
0,29,1,0,7,4,1,4,4,0,4,1,0,2
