Response_ID,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_9ylDxTVmcZIfSwN,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1PbeaO2DUsC2gXY,Permanent,Yes,7,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3nVmbM2bazwda6W,Permanent,Yes,24,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2tAnxopGDzWqZN3,Permanent,Yes,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3IaFjsHyvK47hQp,Permanent,Yes,8,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_272LMthElD6XJm5,Permanent,Yes,46,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,0
R_1eKvDAoH0du6QlR,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1OH2LKMBjT174wL,Permanent,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2QEAsNfoRePxbMm,Permanent,Yes,3,Very satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_31dvQnI6T08vM7X,Seasonal OR temporary,No,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_23VNnmLlAamKKoR,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2v7ZCokgLGRbTNC,Permanent,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_22YpQ01zU3O2t3b,Permanent,Don't know,120,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2UbBpsSwCqt9hM7,Permanent,Yes,109,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,0
R_xnK7X3DNA7LH3ln,Permanent,Yes,12,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1rCuTSORNIkKljV,Permanent,Yes,60,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_3suXcqzqZCGpbiK,Permanent,Yes,48,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27HA1jq1rR7Jylq,Permanent,Yes,84,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1gnl3OukVsdp36N,Seasonal OR temporary,Yes,1,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2fHttf8kbtVfJa8,Permanent,Yes,121,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_33yxsdj6EpaNU7o,Permanent,Yes,14,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3HtVtBZfsLTkoYO,Permanent,Yes,42,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Agree nor disagree,Yes,Strongly Agree,No,Agree nor disagree,1
R_1oI6kcPMrEyn4eM,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_BApROaOoApfVqBb,Permanent,Yes,18,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_bkI97T2tvvtnOtH,Permanent,Yes,12,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly agree,0
R_798MZLM60U69gpb,Permanent,Yes,120,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2tyutnfhXbqJzHg,Permanent,Yes,6,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1HerQvzgnxd6ybV,Permanent,Yes,6,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,Refused,Strongly disagree,Don't know,Agree nor disagree,1
R_2EmKjFfetjptUGe,Permanent,Yes,7,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3qEywXXYSVcJKeg,Permanent,Yes,36,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
