Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_iBYbWXPdRaKV4mF,1,51,204,3,5,1,1
R_4cd3h0P0oStafHq,1,43,11,3,5,1,1
R_iuOuTYsLrijn6BK,1,39,84,3,3,4,1
R_3cdzqMO60AooFum,1,23,11,5,5,1,1
R_gV5v7jjJwzV1fsC,1,31,1,5,5,1,1
R_lJVSSj9RY0c2ANC,1,37,35,3,1,4,1
R_ocrfRK726f41Y8r,1,48,161,3,5,2,1
R_ayO0RTpT1wPZAJi,0,23,14,4,1,5,1
R_37Jn0NWtIx891Z3,1,27,39,5,5,1,1
R_jraJR89kUtXENiO,0,25,14,5,5,1,1
R_9s4W3iuYSD7KXqR,0,20,18,4,5,1,1
R_ocwzvCEkhJlobqq,0,21,2,5,4,5,1
R_5mOgZ9gRMrcVlnA,1,21,1,4,5,3,1
R_daf8Wid3lQ56TyO,1,21,5,4,4,2,1
R_fQkm8oknCiSGZkh,0,19,2,3,4,4,1
R_hHomCg8ZVae8xAu,1,41,1,4,5,1,1
R_mfXpBbi8AYKTarU,1,38,6,4,5,2,1
R_6KEVEHyA1l14n6v,0,25,60,3,3,2,1
R_knvkteAcOcfyyp3,0,19,13,4,4,2,1
R_3TmO0LoA4jJLk45,0,36,84,3,3,1,1
R_0yHgnYXAmYoyUwQ,1,40,36,4,5,1,1
R_bsgiLebJpWn8hYq,1,24,7,4,4,2,1
R_7Jz3RLy51D2cdsJ,0,44,252,5,4,1,1
R_mDh7lFMkzyzOWZC,1,42,156,4,3,1,0
R_ac8EvlgASCDTNBq,1,25,8,4,2,1,1
R_bSdutQwI7QhIvo8,0,30,9,4,1,4,1
R_hR1cJUK3pDrTryp,0,22,0,5,4,1,1
R_lIxfRCX3mfEh6lT,1,27,24,5,5,1,1
R_1uVmAZoyp6AdO3T,1,46,12,3,5,1,1
R_2JoV809PBYsYn8w,1,41,20,5,5,1,1
R_k7EfNAEXF0p4RC5,1,50,221,5,5,1,1
R_3XlgXXCxBVDDLpZ,1,37,12,5,5,1,1
R_hsnxNJ50BrqhL93,1,30,67,3,5,1,1
R_mb5Hy8EBnGLBkqi,1,28,144,3,5,1,1
R_o20Qqsqh5FwYApN,1,24,18,5,5,1,1
R_0htEXWgtDdCzpsT,1,21,12,3,5,1,1
R_2NHeHDlQwgLsQXc,0,21,3,4,5,1,1
R_7A930ylQV0E8nIa,1,18,5,5,5,1,1
R_iBoC6IJRaTA06rh,1,30,6,5,5,1,1
R_fwG5NV1vdUkTsAF,1,29,2,4,5,1,1
R_dLumoHSOT8FRXa7,1,23,90,3,4,1,1
R_jcpIERG9loYirKw,0,23,12,5,5,1,1
R_n5XDeZlOrALONFq,1,32,42,5,5,1,1
