Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_iq2EfuzGceQhggj,Somewhat Satisfied,Yes,Don't know,Somewhat good,Yes,1
R_n61oL4Pfvl4FF9U,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_2Sh6LCbPLlu4ARS,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_kpEwx1EK2weGiHQ,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3J5TJEdQvaOJkeW,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_htcFg1t1jrfCfqc,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,0
R_h5Bp24xge94wptH,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_2vmDuTkCZayc7iM,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_eia3dxrL8YX6AUp,Neither satisfied nor dissatisfied,No,No,Neither good or bad,No,1
R_oUxBmP4yumVq8fM,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Don't know,0
R_kl1Dg6kmgs0qg9C,Somewhat Satisfied,No,No,Neither good or bad,Yes,0
R_5RoC2Z6adYOfxOB,Neither satisfied nor dissatisfied,Don't know,No,Neither good or bad,Yes,1
R_19NYhMFxIO3dOok,Somewhat Satisfied,No,No,Neither good or bad,Yes,1
R_oURxM1KgUAGvnXf,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_mT8zkPEtfWE2tTZ,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Yes,1
R_iNdVKL33uuZ4AAx,Neither satisfied nor dissatisfied,Yes,No,Very good,Yes,1
R_ca49rP2fbFDimKF,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,0
R_ggfZPdyHpMgycYk,Very satisfied,Yes,Yes,Very good,Yes,1
R_49kyWWUw9Pv92g8,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_0ftHVC4Nx0Ml6yu,Very satisfied,Yes,No,Very good,Yes,1
R_8Q1RlEP3a4kN85q,Very satisfied,Yes,Yes,Very good,Yes,1
R_od85tTANifge3vf,Very satisfied,No,Yes,Very good,Yes,1
R_f2KDiW2MEATUdwr,Very satisfied,Yes,No,Very good,Yes,1
R_fd6zyMR3KqvwxNz,Very satisfied,Don't know,No,Neither good or bad,Yes,1
R_erRhQ20kqQ7wicn,Very satisfied,Yes,Yes,Very good,Yes,1
R_9b531ARyi0IUSHN,Very satisfied,Yes,No,Neither good or bad,Don't know,1
R_op4rHu1tpw3OEDt,Very satisfied,Yes,No,Somewhat good,Yes,1
R_jRwlKnJiUJI42Sc,Very satisfied,Yes,No,Very good,Yes,1
R_jAGr3IKPXZwelIA,Very satisfied,Yes,Yes,Very good,Yes,1
R_1CiSnwKf8LsTtN2,Very satisfied,Yes,No,Very good,Yes,1
R_g6HJjJoKFdF8d2u,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_2lXm0fuPhfhqdqB,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_iBYbWXPdRaKV4mF,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_4cd3h0P0oStafHq,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_iuOuTYsLrijn6BK,Very satisfied,Don't know,No,Neither good or bad,Yes,1
R_3cdzqMO60AooFum,Very satisfied,Yes,No,Very good,Don't know,1
R_gV5v7jjJwzV1fsC,Very satisfied,Yes,No,Very good,Yes,1
R_lJVSSj9RY0c2ANC,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,0
R_ocrfRK726f41Y8r,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_ayO0RTpT1wPZAJi,Somewhat Satisfied,Don't know,No,Somewhat good,No,1
R_37Jn0NWtIx891Z3,Very satisfied,Yes,Yes,Very good,Yes,1
R_jraJR89kUtXENiO,Very satisfied,Yes,Yes,Very good,No,1
R_9s4W3iuYSD7KXqR,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_ocwzvCEkhJlobqq,Very satisfied,Yes,No,Very good,No,1
R_5mOgZ9gRMrcVlnA,Somewhat Satisfied,Yes,Yes,Somewhat good,No,1
R_daf8Wid3lQ56TyO,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_fQkm8oknCiSGZkh,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_hHomCg8ZVae8xAu,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_mfXpBbi8AYKTarU,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_6KEVEHyA1l14n6v,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_knvkteAcOcfyyp3,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_3TmO0LoA4jJLk45,Neither satisfied nor dissatisfied,Yes,Don't know,Neither good or bad,Yes,1
R_0yHgnYXAmYoyUwQ,Very satisfied,Yes,No,Somewhat good,Yes,1
R_bsgiLebJpWn8hYq,Somewhat Satisfied,Yes,No,Somewhat good,Don't know,0
R_7Jz3RLy51D2cdsJ,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_mDh7lFMkzyzOWZC,Very satisfied,Refused,No,Somewhat good,Yes,0
R_ac8EvlgASCDTNBq,Somewhat Satisfied,Yes,No,Somewhat good,Yes,0
R_bSdutQwI7QhIvo8,Very satisfied,No,No,Somewhat good,Don't know,1
R_hR1cJUK3pDrTryp,Very satisfied,Yes,Yes,Very good,Yes,1
R_lIxfRCX3mfEh6lT,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_1uVmAZoyp6AdO3T,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_2JoV809PBYsYn8w,Very satisfied,Don't know,Yes,Very good,Yes,1
R_k7EfNAEXF0p4RC5,Very satisfied,Yes,Yes,Very good,Don't know,1
R_3XlgXXCxBVDDLpZ,Very satisfied,Yes,No,Very good,Yes,0
R_hsnxNJ50BrqhL93,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,0
R_mb5Hy8EBnGLBkqi,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_o20Qqsqh5FwYApN,Very satisfied,Yes,No,Very good,Yes,1
R_0htEXWgtDdCzpsT,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_2NHeHDlQwgLsQXc,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Don't know,1
R_7A930ylQV0E8nIa,Very satisfied,Yes,Yes,Very good,Yes,1
R_iBoC6IJRaTA06rh,Very satisfied,Yes,Yes,Very good,Yes,1
R_fwG5NV1vdUkTsAF,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_dLumoHSOT8FRXa7,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Yes,1
R_jcpIERG9loYirKw,Very satisfied,Yes,Yes,Very good,Yes,1
R_n5XDeZlOrALONFq,Very satisfied,Yes,No,Very good,Yes,1
R_aGXmZ5GxRRBI8TT,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_5mWMr42kDSUIF64,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,No,1
R_5Mewh60l6jmPjIN,Neither satisfied nor dissatisfied,Yes,Yes,Very good,Yes,1
R_bjUSdyRx7ip4fby,Very satisfied,Yes,Yes,Very good,Yes,1
R_cEPKVDBxd2Ntesd,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Don't know,1
R_hrSIc9FdicdN9r8,Very satisfied,Yes,Yes,Very good,Yes,1
R_0ftYY1YAshMnfkK,Very satisfied,Yes,No,Very good,Yes,1
R_bQmutrvuZy3v4q2,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Don't know,1
R_2I2txJ4y79Q5q2N,Neither satisfied nor dissatisfied,Yes,No,Very good,Yes,1
R_6pZOjWkY4VQpbfu,Very satisfied,Yes,No,Very good,Yes,1
R_47xLIgSn5GmQjYg,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Don't know,1
R_cjWrrHQsmj3t159,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_6z9m1WTgUf1FdCD,Very satisfied,Yes,Yes,Very good,Yes,1
R_eiVU4jOGsJ6fP8Q,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_ePCNLDHgIQ1MuuV,Very satisfied,Yes,No,Very good,Yes,1
R_3vBd3UTdmBo1xFw,Very satisfied,Yes,Yes,Very good,Yes,1
R_o34Z0BIfdHaVUBD,Somewhat Satisfied,No,No,Somewhat good,Yes,0
