Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,safety_core,accident_last_year,covid_safety_measures_core,pressure_to_work_core
R_2Yr1dNFivgk5xjw,Woman,52,Elementary School,Permanent,Yes,37,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_NWsXPxRYLgaHyN3,Man,23,Middle School,Seasonal OR temporary,Yes,9,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_xEqDNOLiEXbjbHz,Woman,42,Middle School,Permanent,Yes,22,Somewhat agree,No,Strongly Agree,Strongly disagree
R_1rHQPbnkRZ2YmCu,Man,25,Middle School,Permanent,Yes,9,Strongly agree,Yes,Strongly Agree,Agree nor disagree
R_brrjwQK6gUoj9i9,Man,23,High School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_Ahtd32nJFpk07uN,Man,52,Elementary School,Permanent,Yes,72,Agree nor disagree,No,Strongly Agree,Strongly disagree
R_DJlarxyehOlSwyl,Woman,32,Middle School,Seasonal OR temporary,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_1guTwTsg9llcClH,Man,24,Middle School,Permanent,Don't know,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_Zk4TG36ArjqpK25,Man,35,Middle School,Permanent,No,132,Somewhat agree,No,Strongly Agree,Strongly disagree
R_1gpSJIOfHPYySST,Man,27,Middle School,Permanent,Yes,109,Strongly agree,No,Strongly Agree,Strongly disagree
R_bkYsu6oNOZVoc8x,Man,47,Elementary School,Permanent,Yes,48,Strongly agree,No,Somewhat agree,Somewhat disagree
R_AaDYWxdX0FWnIPv,Woman,24,Middle School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_1OjfTkFvcNhNpiQ,Woman,26,Middle School,Permanent,Yes,46,Strongly agree,No,Strongly Agree,Strongly disagree
R_1d05Xc1FDHIW0BT,Woman,31,Elementary School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_3JlxDHmZVDhmKwZ,Man,37,Middle School,Permanent,Yes,171,Somewhat agree,No,Somewhat agree,Strongly disagree
R_2XhpIpEDlY0bndU,Woman,24,Middle School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_9ylDxTVmcZIfSwN,Woman,26,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_1PbeaO2DUsC2gXY,Man,19,High School,Permanent,Yes,7,Somewhat agree,No,Strongly Agree,Strongly disagree
R_3nVmbM2bazwda6W,Woman,30,Middle School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_2tAnxopGDzWqZN3,Woman,22,Middle School,Permanent,Yes,9,Strongly agree,No,Strongly Agree,Strongly disagree
R_3IaFjsHyvK47hQp,Man,19,High School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_272LMthElD6XJm5,Man,45,Middle School,Permanent,Yes,46,Strongly agree,No,Strongly Agree,Strongly disagree
R_1eKvDAoH0du6QlR,Man,22,High School,Seasonal OR temporary,Yes,7,Strongly agree,No,Strongly Agree,Strongly disagree
R_1OH2LKMBjT174wL,Man,19,Middle School,Permanent,Yes,4,Strongly agree,No,Strongly Agree,Strongly disagree
R_2QEAsNfoRePxbMm,Man,22,Middle School,Permanent,Yes,3,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_31dvQnI6T08vM7X,Man,23,No school,Seasonal OR temporary,No,9,Strongly agree,No,Strongly Agree,Strongly disagree
R_23VNnmLlAamKKoR,Woman,40,Middle School,Seasonal OR temporary,Yes,2,Somewhat agree,No,Strongly Agree,Strongly disagree
R_2v7ZCokgLGRbTNC,Man,30,Elementary School,Permanent,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_22YpQ01zU3O2t3b,Man,40,Elementary School,Permanent,Don't know,120,Strongly agree,No,Strongly Agree,Strongly disagree
R_2UbBpsSwCqt9hM7,Man,38,Elementary School,Permanent,Yes,109,Strongly agree,No,Strongly Agree,Somewhat disagree
R_xnK7X3DNA7LH3ln,Man,30,Elementary School,Permanent,Yes,12,Somewhat agree,No,Strongly Agree,Strongly disagree
R_1rCuTSORNIkKljV,Man,26,Elementary School,Permanent,Yes,60,Somewhat agree,No,Somewhat agree,Strongly disagree
R_3suXcqzqZCGpbiK,Man,37,Middle School,Permanent,Yes,48,Somewhat agree,No,Strongly Agree,Strongly disagree
R_27HA1jq1rR7Jylq,Man,35,Middle School,Permanent,Yes,84,Strongly agree,No,Strongly Agree,Strongly disagree
R_1gnl3OukVsdp36N,Man,25,High School,Seasonal OR temporary,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_2fHttf8kbtVfJa8,Woman,37,Elementary School,Permanent,Yes,121,Somewhat agree,No,Strongly Agree,Strongly disagree
R_33yxsdj6EpaNU7o,Man,49,Elementary School,Permanent,Yes,14,Strongly agree,No,Strongly Agree,Strongly disagree
R_3HtVtBZfsLTkoYO,Woman,23,High School,Permanent,Yes,42,Agree nor disagree,Yes,Strongly Agree,Agree nor disagree
R_1oI6kcPMrEyn4eM,Man,53,Middle School,Seasonal OR temporary,Yes,7,Strongly agree,No,Strongly Agree,Strongly disagree
R_BApROaOoApfVqBb,Woman,27,Middle School,Permanent,Yes,18,Strongly agree,Yes,Strongly Agree,Strongly disagree
R_bkI97T2tvvtnOtH,Woman,19,High School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly agree
R_798MZLM60U69gpb,Man,38,High School,Permanent,Yes,120,Strongly agree,No,Strongly Agree,Strongly disagree
R_2tyutnfhXbqJzHg,Man,23,College degree or higher,Permanent,Yes,6,Somewhat agree,No,Strongly Agree,Strongly disagree
R_1HerQvzgnxd6ybV,Woman,26,High School,Permanent,Yes,6,Strongly agree,Refused,Strongly disagree,Agree nor disagree
R_2EmKjFfetjptUGe,Man,24,High School,Permanent,Yes,7,Strongly agree,No,Strongly Agree,Strongly disagree
R_3qEywXXYSVcJKeg,Man,32,Elementary School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_2SwuehLDrVgW6Gn,Woman,19,High School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_2rZNcxM8FHIUgwS,Woman,24,High School,Seasonal OR temporary,Yes,2,Agree nor disagree,No,Somewhat agree,Agree nor disagree
R_78LkSBuNsodS2Z3,Man,20,High School,Permanent,No,24,Agree nor disagree,No,Strongly Agree,Strongly disagree
R_1kM23e7THzeHihL,Woman,20,High School,Permanent,Yes,8,Somewhat agree,Yes,Strongly Agree,Strongly disagree
R_2qDADBLWMVe6ro0,Man,26,Middle School,Seasonal OR temporary,Yes,23,Strongly agree,Yes,Strongly Agree,Refused
R_1dczTEUX5awP6g4,Woman,24,High School,Seasonal OR temporary,Yes,6,Somewhat agree,No,Agree nor disagree,Strongly disagree
R_R3xvAjNtJ3yexsl,Man,29,College degree or higher,Permanent,Yes,27,Strongly agree,No,Strongly Agree,Strongly disagree
R_30isOmiW6uxmyK8,Woman,23,High School,Permanent,Yes,35,Strongly agree,No,Strongly Agree,Strongly disagree
R_3PyI1oJ0cknwcsS,Man,39,Middle School,Permanent,Yes,48,Strongly agree,No,Strongly Agree,Strongly disagree
R_WkeRUJiJm9aEkwx,Woman,23,Middle School,Permanent,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_A1LtjjeVmi4iUh3,Man,18,High School,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_1PcPF1wf7XOaz43,Woman,27,Middle School,Seasonal OR temporary,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_3PRCQFEjnNloJok,Man,20,Middle School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_3Jen2HsU9b16P5P,Woman,38,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_3n7d8O9jhmGrSyO,Woman,34,Middle School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
R_29hKHWAot2uwVEd,Man,42,Middle School,Permanent,Yes,60,Strongly agree,No,Strongly Agree,Strongly disagree
R_uqg3Xj0QRBOEVJD,Man,33,College degree or higher,Permanent,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_VPTCwh8LUxLHehz,Man,24,No school,Seasonal OR temporary,Yes,0,Strongly agree,No,Strongly Agree,Strongly disagree
R_3Rw4V7P6K5b22tJ,Woman,58,Elementary School,Permanent,Yes,44,Strongly agree,No,Strongly Agree,Strongly disagree
R_2YtFfpB8BUCztlB,Woman,42,Elementary School,Permanent,No,132,Strongly agree,No,Strongly Agree,Strongly disagree
R_2Qn8X5jezS5qCjG,Man,23,High School,Seasonal OR temporary,Yes,2,Agree nor disagree,No,Strongly Agree,Strongly disagree
R_vrE4THOejzXVAYh,Man,22,Middle School,Don't know,Don't know,24,Agree nor disagree,No,Agree nor disagree,Somewhat agree
R_3dH88hSuAqxEvs0,Woman,29,Middle School,Permanent,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_OptH8DFIFXGQRA5,Woman,33,Middle School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_3h9mhHnWssLr9Jp,Man,28,Middle School,Seasonal OR temporary,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_3fZ7y6dDgyKIPfG,Man,39,Elementary School,Permanent,Yes,54,Strongly agree,No,Strongly Agree,Somewhat agree
R_1plB7jz8v4OxjVE,Woman,24,College degree or higher,Seasonal OR temporary,Yes,1,Strongly agree,No,Somewhat agree,Somewhat disagree
R_27kxpXZfi0acfHf,Man,20,High School,Permanent,No,9,Strongly agree,No,Strongly Agree,Strongly disagree
R_1DI3CpbQD8EFYZ5,Man,20,Middle School,Permanent,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_cuc2Zdp0iJP4N33,Woman,23,Middle School,Permanent,Yes,8,Strongly agree,No,Strongly Agree,Strongly disagree
R_2q2g49bBUWZMH5V,Man,31,High School,Permanent,Yes,1,Strongly agree,No,Strongly Agree,Strongly disagree
R_2fqVDMQnbdeHPTq,Man,21,High School,Seasonal OR temporary,Yes,3,Strongly agree,No,Strongly Agree,Strongly disagree
R_3O2KipgUUrzqM4b,Woman,25,College degree or higher,Seasonal OR temporary,Yes,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_iURIYmjiEXnra7D,Woman,37,Elementary School,Permanent,Yes,27,Strongly disagree,No,Strongly disagree,Strongly disagree
R_gJUNyoOkh8UJ1xS,Man,24,Middle School,Permanent,Yes,5,Somewhat agree,No,Strongly Agree,Strongly disagree
R_jajgRSqXq8pXo11,Man,34,Middle School,Permanent,Yes,9,Somewhat agree,No,Strongly Agree,Strongly disagree
R_6ABFmYJgdAGkayy,Man,42,High School,Permanent,Yes,5,Somewhat agree,No,Somewhat disagree,Somewhat agree
R_ndma0hljJi8Tonf,Man,39,Middle School,Seasonal OR temporary,Yes,48,Agree nor disagree,No,Strongly Agree,Strongly agree
R_1CikL5RCkMZSrVF,Man,49,Elementary School,Permanent,Yes,59,Strongly agree,No,Strongly Agree,Strongly disagree
R_hY16MFmcGU5TPFy,Man,30,Middle School,Permanent,Yes,36,Strongly agree,No,Strongly Agree,Strongly disagree
R_kkwxirUsPO2ZJbt,Man,21,High School,Seasonal OR temporary,Yes,5,Strongly agree,No,Strongly Agree,Strongly disagree
R_nlzCxGJ9Qf6DWu4,Man,43,Elementary School,Permanent,Yes,112,Strongly agree,No,Strongly Agree,Strongly disagree
R_cgSroznGyG3DRiG,Woman,24,Elementary School,Permanent,Yes,96,Somewhat agree,No,Strongly Agree,Somewhat disagree
R_d57TK5sAhLyVJL5,Woman,35,Middle School,Permanent,Yes,12,Somewhat agree,No,Strongly Agree,Somewhat disagree
R_62arKkQbXOYHMtj,Man,27,Elementary School,Permanent,Yes,3,Somewhat agree,No,Strongly Agree,Strongly agree
R_jgTsJlS9G7gIYnK,Man,29,Elementary School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_kEQ3OoJLaegNotR,Man,22,Middle School,Permanent,Yes,24,Agree nor disagree,No,Strongly disagree,Strongly disagree
R_jNsoxc1sNnbkDiz,Man,56,Elementary School,Permanent,Yes,42,Somewhat agree,No,Strongly Agree,Strongly disagree
R_8QPsrABemGZaym7,Man,24,Middle School,Permanent,Yes,19,Somewhat agree,No,Strongly Agree,Somewhat disagree
R_iq2EfuzGceQhggj,Man,42,Elementary School,Permanent,Yes,17,Somewhat agree,No,Strongly Agree,Strongly disagree
R_n61oL4Pfvl4FF9U,Man,38,Elementary School,Permanent,Yes,72,Somewhat agree,No,Strongly disagree,Somewhat agree
R_2Sh6LCbPLlu4ARS,Woman,39,Elementary School,Permanent,Don't know,120,Somewhat agree,No,Strongly Agree,Strongly disagree
R_kpEwx1EK2weGiHQ,Man,41,Middle School,Permanent,Yes,1,Strongly agree,No,Agree nor disagree,Somewhat disagree
R_3J5TJEdQvaOJkeW,Woman,23,Elementary School,Permanent,Yes,2,Strongly agree,No,Strongly Agree,Strongly agree
R_htcFg1t1jrfCfqc,Woman,41,No school,Permanent,Don't know,168,Somewhat agree,No,Agree nor disagree,Somewhat disagree
R_h5Bp24xge94wptH,Man,19,High School,Permanent,No,7,Strongly agree,No,Strongly Agree,Strongly disagree
R_2vmDuTkCZayc7iM,Man,29,Elementary School,Permanent,Yes,96,Strongly agree,No,Strongly Agree,Strongly disagree
R_eia3dxrL8YX6AUp,Man,40,High School,Permanent,Yes,8,Strongly disagree,No,Agree nor disagree,Strongly disagree
R_oUxBmP4yumVq8fM,Woman,29,Middle School,Permanent,Yes,16,Somewhat agree,No,Agree nor disagree,Somewhat agree
R_kl1Dg6kmgs0qg9C,Man,26,Elementary School,Permanent,Don't know,12,Somewhat agree,No,Strongly disagree,Strongly agree
R_5RoC2Z6adYOfxOB,Woman,29,Middle School,Permanent,Yes,13,Strongly disagree,No,Strongly Agree,Strongly disagree
R_19NYhMFxIO3dOok,Woman,49,Middle School,Permanent,No,42,Strongly agree,No,Strongly Agree,Strongly disagree
R_oURxM1KgUAGvnXf,Woman,25,Elementary School,Permanent,Don't know,3,Agree nor disagree,No,Agree nor disagree,Somewhat disagree
R_mT8zkPEtfWE2tTZ,Woman,21,Middle School,Permanent,Yes,6,Strongly agree,No,Strongly Agree,Strongly disagree
R_iNdVKL33uuZ4AAx,Woman,25,Elementary School,Seasonal OR temporary,Yes,0,Strongly agree,No,Strongly Agree,Agree nor disagree
