Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_2uDq7TUh2EaXOF3,Woman,22,High School,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_31ZePKoH4rD213q,Woman,30,Middle School,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_3ek3EmFHMhTiivc,Woman,33,Elementary School,Permanent,Yes,63,Neither satisfied nor dissatisfied,Yes,No,Somewhat bad,Somewhat disagree,No,Strongly Agree,Yes,Strongly disagree,No,No,0
R_1rDH85aZWkXP7qT,Man,25,High School,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_21okY5mXQUM38NQ,Woman,30,Middle School,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2WZvi79vnBx2Q41,Man,30,No school,Permanent,Yes,69,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Don't know,Refused,1
R_3IQyKcranMP7vA9,Woman,32,Middle School,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_cOWKkzILsOHPxiV,Woman,20,High School,Seasonal OR temporary,Yes,15,Very satisfied,Yes,Yes,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_296LKsIxOwSj9cN,Woman,37,Middle School,Permanent,Yes,24,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_1LckwOa3KDfPmHu,Man,41,Middle School,Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_114u7A8KAwzLCEm,Woman,50,Middle School,Permanent,Yes,35,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_8Iy7hxGXRkGEluV,Woman,48,Elementary School,Permanent,Yes,15,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3L1fp5BrnlSzBwR,Man,21,Middle School,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_29htgDRlyznCRhr,Man,26,High School,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3elCEjWGTetp2hh,Man,26,Middle School,Permanent,Yes,4,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Strongly Agree,Yes,Refused,Yes,No,1
R_1fdOdSyjg1WUstK,Woman,26,Middle School,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2eQYL2Zh3K7YEa2,Woman,51,Middle School,Permanent,Yes,27,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_1iep9GIv8b9P6um,Woman,47,Elementary School,Permanent,Yes,10,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_29cTU5tt5Ju5Gu8,Woman,55,Middle School,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3PaBJ2fUBpZS2hI,Man,31,Elementary School,Seasonal OR temporary,Yes,7,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_Q4gMoR8DlQrFXIR,Man,25,Middle School,Permanent,Yes,5,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_07JbBXwvBB9x5zX,Man,27,Elementary School,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_1mmFtXZh6e4kR8M,Man,19,High School,Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,No,Very good,Strongly agree,Yes,Somewhat agree,Yes,Agree nor disagree,Yes,No,1
R_10UdSiXnpDVvk0k,Man,32,Middle School,Seasonal OR temporary,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,Yes,No,1
R_T14JVxVY3hLzv69,Man,58,Elementary School,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2uDtLS9tUBZKYGS,Man,34,Middle School,Seasonal OR temporary,No,1,Somewhat dissatisfied,No,No,Somewhat bad,Somewhat disagree,No,Agree nor disagree,Don't know,Strongly disagree,No,Yes,0
R_1kLnQc6FmDlkbi0,Woman,52,No school,Permanent,Don't know,123,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_27WOv1vhaeqpxeT,Man,26,Elementary School,Permanent,Yes,16,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_2s7PbjY2OmwP1zK,Man,34,Middle School,Permanent,No,8,Somewhat Satisfied,Don't know,No,Neither good or bad,Agree nor disagree,No,Somewhat agree,Yes,Strongly disagree,No,No,1
R_2PAugWfX3Juh16h,Woman,38,Elementary School,Permanent,Yes,74,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3Q0nLxXCk4spCAs,Man,29,Middle School,Don't know,Yes,2,Somewhat Satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_10YruvEVjshLta7,Man,50,Elementary School,Permanent,Yes,48,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_ylrV1zju2qV6y9r,Man,44,Middle School,Seasonal OR temporary,No,24,Somewhat dissatisfied,No,No,Neither good or bad,Somewhat disagree,No,Strongly disagree,Don't know,Strongly agree,No,No,1
R_3n5evj6H49riOlj,Woman,33,High School,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2an331KKUDlVX8T,Man,19,Middle School,Permanent,Yes,5,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_20MPFKlt7nKuK1P,Man,19,Middle School,Permanent,Yes,16,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,Yes,1
R_22FfgZ2c5Qyt8XM,Woman,58,Elementary School,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,"Maybe, depending on the topic",No,1
R_1kS8qOvn9EyOMsS,Man,33,Middle School,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1ohjrTVSYo1AhqX,Woman,22,Middle School,Permanent,Yes,11,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1JDSZCaobS7Axhb,Woman,36,Middle School,Permanent,Yes,66,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,Yes,No,1
R_31ZrffTPIOf6V74,Man,24,Middle School,Permanent,Yes,10,Very satisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,Yes,No,1
R_2ric8SZL7ngSG4x,Man,21,High School,Permanent,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3fGKouZSQ8z5BCB,Man,28,Middle School,Seasonal OR temporary,Yes,36,Neither satisfied nor dissatisfied,Don't know,No,Somewhat good,Agree nor disagree,Yes,Agree nor disagree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_1jUsWC7RlOPTTV0,Man,31,Elementary School,Permanent,Yes,36,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_cU78wbIvJ6E7UhH,Man,32,Middle School,Permanent,Yes,40,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_RsP8FUce6bPYtvb,Man,21,Middle School,Permanent,Yes,11,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3HODN9dYIrfrbkV,Man,59,No school,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_yQLqrbTdrUwZVxT,Man,32,Middle School,Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2Yr1dNFivgk5xjw,Woman,52,Elementary School,Permanent,Yes,37,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_NWsXPxRYLgaHyN3,Man,23,Middle School,Seasonal OR temporary,Yes,9,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_xEqDNOLiEXbjbHz,Woman,42,Middle School,Permanent,Yes,22,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1rHQPbnkRZ2YmCu,Man,25,Middle School,Permanent,Yes,9,Very satisfied,Yes,No,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Agree nor disagree,Yes,No,1
R_brrjwQK6gUoj9i9,Man,23,High School,Permanent,Yes,8,Very satisfied,Yes,Don't know,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
