worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
Permanent,Yes,5,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,16,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly agree,10
Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Somewhat agree,10
Permanent,Yes,30,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,11,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,66,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Don't know,Strongly disagree,8
Permanent,Yes,10,Very satisfied,Yes,Don't know,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Agree nor disagree,8
Permanent,Yes,10,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Seasonal OR temporary,Yes,36,Neither satisfied nor dissatisfied,Don't know,No,Somewhat good,Agree nor disagree,Yes,1 occasion,Agree nor disagree,Yes,Strongly disagree,8
Permanent,Yes,36,Very satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,40,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Permanent,Yes,11,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,36,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
